Name,Longitude,Latitude,key_model
Carnegie Mellon University - H. John Heinz III College,40.4443494,-79.9455454,40.4443494 + -79.9455454
University of North Carolina at Charlotte,35.3070929,-80.735164,35.3070929 + -80.735164
Florida Institute of Technology,28.0646888,-80.623022,28.0646888 + -80.623022
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
"Indian Institute of Technology, Madras",12.9914929,80.2336907,12.9914929 + 80.2336907
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Massachusetts Institute of Technology,42.360091,-71.09416,42.360091 + -71.09416
The University of Texas at Austin,30.2849185,-97.7340567,30.2849185 + -97.7340567
University of Minnesota - Carlson School of Management,44.970411,-93.244825,44.970411 + -93.244825
Illinois Institute of Technology,41.8348731,-87.6270059,41.8348731 + -87.6270059
University of Minnesota - Carlson School of Management,44.970411,-93.244825,44.970411 + -93.244825
Boise State University,43.6026952,-116.2014604,43.6026952 + -116.2014604
Indiana University Bloomington,39.1784384,-86.5133166,39.1784384 + -86.5133166
The University of Texas at Dallas,32.9857619,-96.7500993,32.9857619 + -96.7500993
Worcester Polytechnic Institute,42.2745754,-71.8062724,42.2745754 + -71.8062724
University of Connecticut,41.8077414,-72.2539805,41.8077414 + -72.2539805
New York University,40.7295134,-73.9964609,40.7295134 + -73.9964609
Indiana University - Kelley School of Business,39.1724124,-86.5193589,39.1724124 + -86.5193589
Michigan Technological University,47.1167748,-88.5460218,47.1167748 + -88.5460218
Syracuse University,43.0391534,-76.1351158,43.0391534 + -76.1351158
University of Illinois at Chicago,41.8697938,-87.6496336,41.8697938 + -87.6496336
Illinois Institute of Technology,41.8348731,-87.6270059,41.8348731 + -87.6270059
The University of Chicago,41.7886079,-87.5987133,41.7886079 + -87.5987133
Arizona State University,33.4242399,-111.9280527,33.4242399 + -111.9280527
University at Buffalo,43.0008093,-78.7889697,43.0008093 + -78.7889697
