Name,Rank,Longitude,Latitude,key_top200
Arizona State University--Tempe,129,33.4242399,-111.9280527,33.4242399 + -111.9280527
Clarkson University,129,44.6637611,-74.998544,44.6637611 + -74.998544
Colorado State University,129,40.573436,-105.0865473,40.573436 + -105.0865473
New School,129,40.7355074,-73.9942686,40.7355074 + -73.9942686
Hofstra University,133,40.716792,-73.5994041,40.716792 + -73.5994041
University of Kentucky,133,38.0306511,-84.5039697,38.0306511 + -84.5039697
Kansas State University,135,39.1974437,-96.5847249,39.1974437 + -96.5847249
Louisiana State University--Baton Rouge,135,30.4132579,-91.1800023,30.4132579 + -91.1800023
Mercer University,135,32.8288186,-83.6497769,32.8288186 + -83.6497769
New Jersey Institute of Technology,135,40.7423345,-74.1793409,40.7423345 + -74.1793409
Rutgers University--Newark,135,40.7410553,-74.1732009,40.7410553 + -74.1732009
University of Arkansas,135,36.0678324,-94.1736551,36.0678324 + -94.1736551
University of Cincinnati,135,39.1329219,-84.5149504,39.1329219 + -84.5149504
University of Mississippi,135,34.3647324,-89.538443,34.3647324 + -89.538443
George Mason University,143,38.8314936,-77.3114889,38.8314936 + -77.3114889
Oregon State University,143,44.5637806,-123.2794443,44.5637806 + -123.2794443
Washington State University,143,46.7319225,-117.1542121,46.7319225 + -117.1542121
Adelphi University,146,40.7202125,-73.6522652,40.7202125 + -73.6522652
Ohio University,146,39.324358,-82.1013889,39.324358 + -82.1013889
San Diego State University,146,32.7757217,-117.0718893,32.7757217 + -117.0718893
St. John Fisher College,146,43.115372,-77.511511,43.115372 + -77.511511
University at Albany--SUNY,146,42.6857636,-73.8243942,42.6857636 + -73.8243942
University of Texas--Dallas,146,32.9857619,-96.7500993,32.9857619 + -96.7500993
Illinois State University,152,40.5122833,-88.9946702,40.5122833 + -88.9946702
Immaculata University,152,40.0279142,-75.5705399,40.0279142 + -75.5705399
Oklahoma State University,152,36.1270236,-97.0737222,36.1270236 + -97.0737222
University of California--Merced,152,37.3641651,-120.4254615,37.3641651 + -120.4254615
University of Illinois--Chicago,152,41.8697938,-87.6496336,41.8697938 + -87.6496336
University of La Verne,152,34.100854,-117.773235,34.100854 + -117.773235
University of Massachusetts--Lowell,152,42.6552587,-71.3247164,42.6552587 + -71.3247164
Seattle Pacific University,159,47.6495805,-122.3615366,47.6495805 + -122.3615366
University of Alabama--Birmingham,159,33.5021227,-86.8064447,33.5021227 + -86.8064447
University of Maryland--Baltimore County,159,39.2556759,-76.7109674,39.2556759 + -76.7109674
University of Rhode Island,159,41.4860647,-71.5308537,41.4860647 + -71.5308537
University of South Florida,159,28.0587031,-82.4138539,28.0587031 + -82.4138539
Biola University,164,33.9054476,-118.0151797,33.9054476 + -118.0151797
Maryville University of St. Louis,164,38.644986,-90.504679,38.644986 + -90.504679
Missouri University of Science & Technology,164,37.9537078,-91.7756271,37.9537078 + -91.7756271
St. John's University,164,40.7220627,-73.7942112,40.7220627 + -73.7942112
Virginia Commonwealth University,164,37.5495048,-77.4509718,37.5495048 + -77.4509718
Union University,169,35.6773778,-88.8595906,35.6773778 + -88.8595906
University of Hawaii--Manoa,169,21.296939,-157.8171118,21.296939 + -157.8171118
Edgewood College,171,43.060689,-89.423378,43.060689 + -89.423378
Florida Institute of Technology,171,28.0646888,-80.623022,28.0646888 + -80.623022
University of Idaho,171,46.7288124,-117.0126084,46.7288124 + -117.0126084
University of Louisville,171,38.2122761,-85.7585023,38.2122761 + -85.7585023
University of Wyoming,171,41.3148754,-105.5665744,41.3148754 + -105.5665744
Ball State University,176,40.2061028,-85.406986,40.2061028 + -85.406986
Lipscomb University,176,36.105632,-86.79999,36.105632 + -86.79999
Mississippi State University,176,33.4551742,-88.7943766,33.4551742 + -88.7943766
Montclair State University,176,40.8622558,-74.1978088,40.8622558 + -74.1978088
Texas Tech University,176,33.5842591,-101.8782822,33.5842591 + -101.8782822
University of Central Florida,176,28.6024274,-81.2000599,28.6024274 + -81.2000599
University of New Mexico,176,35.0843187,-106.6197812,35.0843187 + -106.6197812
Andrews University,183,41.9646127,-86.3594661,41.9646127 + -86.3594661
Azusa Pacific University,183,34.1300755,-117.8883593,34.1300755 + -117.8883593
University of Maine,183,44.9012197,-68.6666508,44.9012197 + -68.6666508
West Virginia University,183,39.6361396,-79.9559358,39.6361396 + -79.9559358
Widener University,183,39.8633562,-75.3566753,39.8633562 + -75.3566753
Kent State University,188,41.1490629,-81.3414649,41.1490629 + -81.3414649
North Dakota State University,188,46.8962434,-96.8031712,46.8962434 + -96.8031712
Pace University,188,40.7111197,-74.0048567,40.7111197 + -74.0048567
Robert Morris University,188,40.5215511,-80.2119216,40.5215511 + -80.2119216
Suffolk University,188,42.3585205,-71.0613561,42.3585205 + -71.0613561
University of Hartford,188,41.7985989,-72.7140002,41.7985989 + -72.7140002
Bowling Green State University,194,41.3797788,-83.6300826,41.3797788 + -83.6300826
University of Houston,194,29.7199489,-95.3422334,29.7199489 + -95.3422334
Western Michigan University,194,42.2837336,-85.6102507,42.2837336 + -85.6102507
Indiana University-Purdue University--Indianapolis,197,39.7738832,-86.1763393,39.7738832 + -86.1763393
Lesley University,197,42.3810755,-71.1174864,42.3810755 + -71.1174864
University of Alabama--Huntsville,197,34.7251471,-86.639783,34.7251471 + -86.639783
University of Colorado--Denver,197,39.7463897,-105.0023328,39.7463897 + -105.0023328
University of Nevada--Reno,197,39.5441917,-119.816397,39.5441917 + -119.816397
California State University--Fullerton,202,33.8829226,-117.8869261,33.8829226 + -117.8869261
Central Michigan University,202,43.5819086,-84.7756364,43.5819086 + -84.7756364
